id,namaProduk,imageUrl,harga,skinType,colorRange,SkintoneId,createdAt,updatedAt
20,Make Over Hydrastay Glow Fluid Foundation ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/c7dd7d2a97189a627b8e27a63a7e5c68289d6b48.jpg,Rp. 189.000,Kering,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
24,Alas Bedak Make Over Powerstay Matte ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/c283fa00071417560a75d891f3e08401b4304f4f.jpg,Rp. 189.625,Berminyak (Oily Skin) dan Kombinasi,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
26,Make Over Powerstay Mattifying Transparent Powder ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/4e4fb2fbed89aded9bc1a33400a540e66eabb876.jpg,Rp. 145.000,Berminyak (Oily Skin),Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
30,Maybelline New York Instant Age Rewind Eraser Treatment Make Up ,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/3/0/9/2/33092-large_default.jpg,Rp. 155.000,All Skintype,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
39,L'Oreal Paris Infallible Pro-Glow Foundation,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/3/5/4/0/13540-large_default.jpg,Rp. 169.000,Kering dan Normal,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
41,Wardah Exclusive Flawless Cover Cushion ,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/0/0/3/3/30033-large_default.jpg,Rp. 145.500,Normal,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
57,BLP Compact Powder ,https://images.soco.id/image-1-1603174034301,Rp. 134.100,Kering,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
60,SOMETHINC DNA Airbrush Breathable Powder Foundation ,https://images.somethinc.com/uploads/products/thumbs/800x800/Somethinc_DNA_Square_Cover_%281%29.jpg,Rp. 129.000,Sensitif,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
61,SOMETHINC Copy Paste Breathable Mesh Cushion ,https://images.soco.id/6beb022e-5b8c-4e88-b9c1-2095da3d6e33-image-0-1617865173962,Rp. 143.150,Kering,Neutral,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
67,Makeup By Mario SurrealSkin Liquid Foundation (1C),https://www.sephora.com/productimages/sku/s2620235-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
68,Makeup By Mario SurrealSkin Liquid Foundation (2N),https://www.sephora.com/productimages/sku/s2620235-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Neutral,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
97,Nars Light Reflectiong Advanced Skincare Foundation (L0),https://www.sephora.com/productimages/sku/s2514735-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warm,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
98,Nars Light Reflectiong Advanced Skincare Foundation (L1),https://www.sephora.com/productimages/sku/s2514735-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Cool,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
99,Nars Light Reflectiong Advanced Skincare Foundation (L2),https://www.sephora.com/productimages/sku/s2514727-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
134,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Cloud),https://www.sephora.com/productimages/sku/s2084606-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutralto Rosy,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
135,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Swan),https://www.sephora.com/productimages/sku/s1960814-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
136,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Snow),https://www.sephora.com/productimages/sku/s1762608-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutralto Rosy,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
137,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Ivory),https://www.sephora.com/productimages/sku/s1711928-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
138,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Almond),https://www.sephora.com/productimages/sku/s1960764-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
